time_step,fair_value,bid_price,ask_price,spread,order_type,trade_executed,trade_size,starting_inventory,ending_inventory,inventory,starting_cash,ending_cash,cash,pnl
78,101.28401275066176,101.28401275066176,103.28401275066176,2.0,buy,True,1,-10,-11,-11,1062.5467770836394,1165.8307898343012,1165.8307898343012,51.706649577021835
79,102.25463043822121,102.3546304382212,104.3546304382212,2.0,sell,True,1,-11,-10,-10,1165.8307898343012,1063.47615939608,1063.47615939608,40.92985501386784
80,102.16464717289949,102.16464717289949,104.16464717289949,2.0,sell,True,1,-10,-9,-9,1063.47615939608,961.3115122231804,961.3115122231804,41.829687667084954
81,103.15549255188492,103.05549255188492,105.05549255188492,2.0,sell,True,1,-9,-8,-8,961.3115122231804,858.2560196712955,858.2560196712955,33.01207925621611
82,102.46508620243304,102.26508620243304,104.26508620243304,2.0,sell,True,1,-8,-7,-7,858.2560196712955,755.9909334688624,755.9909334688624,38.735330051831056
83,102.62344678406555,102.32344678406555,104.32344678406555,2.0,sell,True,1,-7,-6,-6,755.9909334688624,653.6674866847968,653.6674866847968,37.926805980403515
84,101.73777732988052,101.33777732988051,103.33777732988051,2.0,sell,True,1,-6,-5,-5,653.6674866847968,552.3297093549163,552.3297093549163,43.640822705513756
85,102.44321711397708,101.94321711397708,103.94321711397708,2.0,sell,True,1,-5,-4,-4,552.3297093549163,450.3864922409392,450.3864922409392,40.61362378503088
86,101.60344004445825,101.00344004445826,103.00344004445826,2.0,sell,True,1,-4,-3,-3,450.3864922409392,349.38305219648095,349.38305219648095,44.57273206310617
87,101.95386515166643,101.25386515166643,103.25386515166643,2.0,buy,True,1,-3,-4,-4,349.38305219648095,452.6369173481474,452.6369173481474,44.821456741481654
88,102.73443977992531,102.13443977992532,104.13443977992532,2.0,sell,True,1,-4,-3,-3,452.6369173481474,350.50247756822205,350.50247756822205,42.29915822844612
89,102.97320280058952,102.27320280058952,104.27320280058952,2.0,sell,True,1,-3,-2,-2,350.50247756822205,248.22927476763255,248.22927476763255,42.28286916645351
90,103.01876823165344,102.21876823165344,104.21876823165344,2.0,none,False,0,-2,-2,-2,248.22927476763255,248.22927476763255,248.22927476763255,42.19173830432567
91,102.42728663050052,101.62728663050052,103.62728663050052,2.0,none,False,0,-2,-2,-2,248.22927476763255,248.22927476763255,248.22927476763255,43.37470150663151
92,101.90465853573221,101.10465853573221,103.10465853573221,2.0,sell,True,1,-2,-1,-1,248.22927476763255,147.12461623190035,147.12461623190035,45.21995769616814
93,101.50465269532974,100.60465269532973,102.60465269532973,2.0,sell,True,1,-1,0,0,147.12461623190035,46.519963536570614,46.519963536570614,46.519963536570614
94,100.64973892431605,99.64973892431605,101.64973892431605,2.0,sell,True,1,0,1,1,46.519963536570614,-53.12977538774544,-53.12977538774544,47.519963536570614
95,101.64193182002624,100.54193182002625,102.54193182002625,2.0,buy,True,1,1,0,0,-53.12977538774544,49.41215643228081,49.41215643228081,49.41215643228081
96,101.17233264952705,100.17233264952705,102.17233264952705,2.0,none,False,0,0,0,0,49.41215643228081,49.41215643228081,49.41215643228081,49.41215643228081
97,101.93406099689993,100.93406099689993,102.93406099689993,2.0,none,False,0,0,0,0,49.41215643228081,49.41215643228081,49.41215643228081,49.41215643228081
98,101.6731151743777,100.6731151743777,102.6731151743777,2.0,sell,True,1,0,1,1,49.41215643228081,-51.26095874209689,-51.26095874209689,50.41215643228081
99,102.08019502455244,100.98019502455244,102.98019502455244,2.0,sell,True,1,1,2,2,-51.26095874209689,-152.24115376664935,-152.24115376664935,51.91923628245553
100,102.38814765997391,101.18814765997391,103.18814765997391,2.0,sell,True,1,2,3,3,-152.24115376664935,-253.42930142662325,-253.42930142662325,53.73514155329846
101,101.98690516437387,100.68690516437387,102.68690516437387,2.0,sell,True,1,3,4,4,-253.42930142662325,-354.11620659099714,-354.11620659099714,53.831414066498326
102,101.2554873931606,99.8554873931606,101.8554873931606,2.0,buy,True,1,4,3,3,-354.11620659099714,-252.26071919783652,-252.26071919783652,51.50574298164531
103,101.36193467493024,100.06193467493024,102.06193467493024,2.0,sell,True,1,3,4,4,-252.26071919783652,-352.32265387276675,-352.32265387276675,53.12508482695421
